metabolite,super_pathway,sub_pathway,rho_gnn,rho_kernel_mkl,rho_lasso,rho_mirth,rho_ridge,rho_unigraph,rho_unitedmet,rho_xgboost,train_r2_gnn,obs_rate_gnn,coef_var_gnn,max_gene_corr_gnn,network_mapped_gnn,posterior_var_unigraph,obs_rate,coef_var,max_gene_corr,network_mapped
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2),,,-0.06167213324120931,-0.0658136896889748,-0.03826873380431949,-0.06813256767767266,-0.061116161242551585,-0.0714586339059992,-0.06398403163766486,-0.03995026959587597,0.37500012329031535,0.23167539267015708,0.08994175663180196,0.8244870622745619,0.0,55.278416753926734,0.23167302284371508,0.08972407485212382,0.8157038060760394,0.0
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2),,,0.01491062706471914,0.024321794382734064,0.037904271788009015,0.022429637278221573,0.014265025163980963,0.020848825138486963,0.0277808091170188,0.03535747807498557,0.37500012329031535,0.3285340314136126,0.08881582736225718,0.8101230190139714,0.0,70.47714450261776,0.32853730883316,0.08876875844584413,0.83150081105598,0.0
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1),,,-0.07413747279822851,-0.06719537129417322,-0.041468469723790626,-0.06873100349938879,-0.07425365962838118,-0.09169607727166251,-0.08898493731207968,-0.047267222634810944,0.37500012329031535,0.23167539267015708,0.08127363408818902,0.8259899405175843,0.0,60.24789109947643,0.23167302284371508,0.08127784401815064,0.8155465791188535,0.0
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1),,,-0.002661815400987808,0.017153055728003668,0.013600563698944983,0.017545111937376977,0.017581440866655054,0.01027981979497843,0.007806931765397522,0.02943777162000758,0.37500012329031535,0.3285340314136126,0.0984972511268511,0.8090499465352508,0.0,45.21871099476441,0.32853730883316,0.09851548725133058,0.8337186983253808,0.0
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1),,,0.013550772406248981,0.015343374765137259,0.04243231538806234,0.021751339163523765,0.030575937476578725,0.006751695734530518,0.0010628902412750643,0.041910431758731666,0.37500012329031535,0.20157068062827224,0.08470008137579885,0.7500075757668362,0.0,53.646443979057565,0.20157812961464874,0.08450597070911625,0.7141430091305808,0.0
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0),,,0.012916766659851857,0.019629808252801743,0.032185094439827554,0.01792753254625547,0.01595638984895923,-0.006901651714778529,-0.008992634166106316,0.04656049701203866,0.37500012329031535,0.3285340314136126,0.0839494530054094,0.8110993012687213,0.0,48.48526806282721,0.32853730883316,0.08390532638222553,0.8334015451883555,0.0
1-(1-enyl-palmitoyl)-GPC (P-16:0),,,-0.06621921731564077,-0.04588071282140678,-0.043185393661537154,-0.04639676967986085,-0.04771342954315696,-0.08037582259804839,-0.08569723349277039,-0.05388671479884912,0.37500012329031535,0.23167539267015708,0.13535824643290226,0.8107834237901337,0.0,62.54310471204185,0.23167302284371508,0.13540058291298193,0.8031973099589212,0.0
1-(1-enyl-palmitoyl)-GPE (P-16:0),,,-0.03615408502073183,0.04430394552871749,-0.006116193135087686,0.030225825412221394,0.02377565922085753,-0.003573249101853782,-0.001733667100146347,0.030215573649553584,0.37500012329031535,0.5916230366492147,6.1577347543157295,0.11853906388114004,0.0,53.43372565445024,0.591612414448425,6.080450416338976,0.11784816643410599,0.0
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4),,,-0.014797808030931265,0.017875610565792358,0.03873377273991484,0.020140297594473885,0.016303370209049352,0.011169084344999624,0.008351785466000121,0.027568818950503962,0.37500012329031535,0.3285340314136126,0.0826012781276314,0.8113449532054005,0.0,61.74925340314138,0.32853730883316,0.0825453804120077,0.8316464087257778,0.0
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2),,,-0.13831994285891236,-0.14279934355166685,-0.14977008797374858,-0.14278809030909867,-0.16707735644805638,-0.13422442618707586,-0.13687778648701532,-0.15535818642231597,0.37500012329031535,0.03664921465968586,0.029649408555028046,0.6985170520732071,0.0,66.26320732984297,0.03665267023639842,0.029246816161998156,0.7107922183814388,0.0
