confidence_measure,correlation_with_cv_rho,pvalue,n_samples
train_r2,0.09344865171907418,7.995496173796202e-38,18845
max_gene_corr,0.3731954866842047,0.0,18845
obs_rate,0.155956032984924,6.615345708391499e-103,18845
coef_var,-0.15274231709417702,9.724932002618534e-99,18845
posterior_var,-0.09934038493987725,1.336007721744528e-06,2359
