model,model_display,confidence_measure,threshold,n_metabolites,spearman_mean,spearman_median
lasso,Lasso,train_r2,1.0,2350,0.018815290051581127,0.0222663104747243
lasso,Lasso,max_gene_corr,0.05,117,0.11350409451399061,0.11510550435442188
lasso,Lasso,max_gene_corr,0.1,235,0.11432885674881706,0.11519811088437844
lasso,Lasso,max_gene_corr,0.25,587,0.1125886728047145,0.1149502687476076
lasso,Lasso,max_gene_corr,0.5,1175,0.04285221084015405,0.0962008158864347
lasso,Lasso,max_gene_corr,0.75,1762,0.01800290919306462,0.011224409214534782
lasso,Lasso,max_gene_corr,0.9,2115,0.020004127438289963,0.020629040408922838
lasso,Lasso,max_gene_corr,1.0,2350,0.018815290051581137,0.0222663104747243
lasso,Lasso,obs_rate,0.05,117,0.08046485485482861,0.07361489060413336
lasso,Lasso,obs_rate,0.1,235,0.061782008750198895,0.04221202004622661
lasso,Lasso,obs_rate,0.25,587,0.03307384909448439,0.0392504827198984
lasso,Lasso,obs_rate,0.5,1175,0.007747785362765627,-0.00972007344334574
lasso,Lasso,obs_rate,0.75,1762,0.041961923140210966,0.06232257624489217
lasso,Lasso,obs_rate,0.9,2115,0.03595049815077884,0.0334915366324971
lasso,Lasso,obs_rate,1.0,2350,0.018815290051581137,0.0222663104747243
lasso,Lasso,coef_var,0.05,117,0.0015174741864712109,0.025572796980956162
lasso,Lasso,coef_var,0.1,235,0.0120078894839607,0.02996797643197995
lasso,Lasso,coef_var,0.25,587,0.03602455953590552,0.04596090284534648
lasso,Lasso,coef_var,0.5,1175,0.008391579345508429,0.0021779488523873476
lasso,Lasso,coef_var,0.75,1762,0.0029799147987408696,-7.054720742197258e-06
lasso,Lasso,coef_var,0.9,2115,0.01087103708609211,0.008245117527451775
lasso,Lasso,coef_var,1.0,2350,0.01881529005158113,0.0222663104747243
mirth,MIRTH,train_r2,0.05,117,0.05183205558209406,0.06841063534302705
mirth,MIRTH,train_r2,0.1,235,0.019943664173956092,0.022045603878824736
mirth,MIRTH,train_r2,0.25,589,0.014851957607800384,0.01997900208559306
mirth,MIRTH,train_r2,0.5,1179,0.040420458925831806,0.07135304924448149
mirth,MIRTH,train_r2,0.75,1769,0.034053159443989914,0.06527780217381894
mirth,MIRTH,train_r2,0.9,2123,0.02168026863496367,0.026975434686053075
mirth,MIRTH,train_r2,1.0,2359,0.01104324488740145,0.017545111937376977
mirth,MIRTH,max_gene_corr,0.05,117,0.09855307110789714,0.09994417345974686
mirth,MIRTH,max_gene_corr,0.1,235,0.0990293817651866,0.09945966721956404
mirth,MIRTH,max_gene_corr,0.25,589,0.09818087777077848,0.09982490544830985
mirth,MIRTH,max_gene_corr,0.5,1179,0.029995936850110195,0.08933818531759308
mirth,MIRTH,max_gene_corr,0.75,1769,0.007592499181607435,-0.0005982780988182868
mirth,MIRTH,max_gene_corr,0.9,2123,0.011471568885406947,0.015872092262824093
mirth,MIRTH,max_gene_corr,1.0,2359,0.011043244887401446,0.017545111937376977
mirth,MIRTH,obs_rate,0.05,117,0.08554826104082525,0.08036353796522586
mirth,MIRTH,obs_rate,0.1,235,0.06462824183160423,0.046446535797665424
mirth,MIRTH,obs_rate,0.25,589,0.027658993120428698,0.03439731777441067
mirth,MIRTH,obs_rate,0.5,1179,-0.00039539729881174403,-0.016633762078625484
mirth,MIRTH,obs_rate,0.75,1769,0.032577527841168574,0.059157553343924564
mirth,MIRTH,obs_rate,0.9,2123,0.026332065313679466,0.028482918612767406
mirth,MIRTH,obs_rate,1.0,2359,0.011043244887401448,0.017545111937376977
mirth,MIRTH,coef_var,0.05,117,0.0024272733794386127,0.024700970673702496
mirth,MIRTH,coef_var,0.1,235,0.011699914796971987,0.031146910873888316
mirth,MIRTH,coef_var,0.25,589,0.0338996667113523,0.046459114427110745
mirth,MIRTH,coef_var,0.5,1179,0.0028522186187914834,-0.003797515717180429
mirth,MIRTH,coef_var,0.75,1769,-0.003375875993506122,-0.009376161340625128
mirth,MIRTH,coef_var,0.9,2123,0.004064213829120008,0.003018567107646451
mirth,MIRTH,coef_var,1.0,2359,0.011043244887401445,0.017545111937376977
ridge,Ridge,train_r2,0.05,117,0.022797221162658296,0.05491144542277779
ridge,Ridge,train_r2,0.1,235,0.03197240029736014,0.061919128962621514
ridge,Ridge,train_r2,0.25,587,0.051399614489687266,0.10432772748906828
ridge,Ridge,train_r2,0.5,1175,0.0514849786694835,0.0960547259432777
ridge,Ridge,train_r2,0.75,1762,0.03913373934865927,0.060450715050322595
ridge,Ridge,train_r2,0.9,2115,0.023398144174136923,0.0301440071749706
ridge,Ridge,train_r2,1.0,2350,0.015373996491034988,0.01974664877703207
ridge,Ridge,max_gene_corr,0.05,117,0.10843716016520716,0.10950239479559735
ridge,Ridge,max_gene_corr,0.1,235,0.10766167214951403,0.10851174827459216
